c Random k-CNF Generator. J. Giraldez-Cru
c   value n = 25000
c   value m = 105250
c   value k = 3
c   value seed = 1130
p cnf 25000 105250
16657 -1909 -11757 0
8494 -15977 -23863 0
-24470 -8375 16504 0
-20384 -11544 -1237 0
-13106 5123 4163 0
-14375 -23296 -16265 0
-17359 7738 -10392 0
-11533 257 -10549 0
-19798 -17131 1180 0
16982 1021 -19430 0
-21237 -17678 12690 0
-24345 -1171 20018 0
14559 -16992 19745 0
6062 3727 -6288 0
23650 8185 2762 0
-2812 13911 -1057 0
10428 22622 147 0
12171 -9154 -403 0
14072 20303 8885 0
15251 12284 9905 0
-9680 24872 -2582 0
13721 -24217 -20105 0
8738 5127 3448 0
3482 -11189 -7175 0
1121 -9838 -15359 0
-3882 -4002 20621 0
-21291 5781 18242 0
-21437 17952 -2395 0
-13191 7023 14049 0
-22075 22273 -1332 0
23331 23304 -1204 0
-913 12024 -16772 0
-12369 20761 -21898 0
-15816 -24243 -24438 0
-14342 16715 628 0
-21052 -20597 20981 0
-16673 8239 1761 0
-9914 21027 -19712 0
-3661 -9217 18086 0
9061 -22643 15358 0
-10393 -20973 -13661 0
-2948 -13237 -684 0
-11071 16957 12797 0
-24320 24125 3391 0
15110 -13466 20105 0
-15737 870 7053 0
-11717 8894 15291 0
4829 -18807 -11317 0
-24541 -13819 -11885 0
-17626 -22880 -879 0
24336 24624 13204 0
-12996 18923 17792 0
5032 -4993 -9749 0
-17828 20664 -8873 0
-21218 -10773 -13690 0
-16322 17861 5911 0
-23375 -4577 14804 0
5017 -9406 24963 0
7686 -298 -13781 0
10922 9275 3012 0
-11801 8610 -2635 0
-4 12958 -21557 0
9147 -17989 -17901 0
-18895 2168 4917 0
19119 -23385 -15689 0
24161 6058 -8550 0
-5071 20784 -4478 0
11227 -801 -5235 0
11189 24838 21884 0
16321 10759 6159 0
-19333 -22559 -14768 0
13319 -13914 19077 0
1228 -23061 -12065 0
10480 8307 -14232 0
15396 -2426 -3968 0
-6085 17938 1378 0
-5986 -23008 22161 0
1815 -9234 14313 0
-7050 11774 14150 0
20285 3095 24909 0
1443 -22427 -22467 0
7563 2097 -2733 0
-1639 -3324 17145 0
5056 -13804 -451 0
10639 20551 19228 0
-14607 -1635 12165 0
-15984 -23972 -10173 0
4496 -787 -10758 0
18809 -24188 -22532 0
-7958 -19472 -626 0
-7866 12267 -14404 0
-21685 -19829 7852 0
15769 12819 -11176 0
-7913 -17874 -16331 0
24715 -3513 -11881 0
18943 9471 -4868 0
-6107 16806 20191 0
-7631 21301 12329 0
9741 -15109 2868 0
-7272 14419 -22340 0
-24249 13636 958 0
5004 -10320 -20786 0
12855 17440 24956 0
15382 -352 -17830 0
23064 -67 -12694 0
-9945 10361 -22164 0
-6164 -16467 5321 0
17706 15450 1621 0
-5035 190 8082 0
-7902 -7461 -22500 0
-21593 -23061 -11135 0
-22550 19416 12807 0
-9687 -7270 -5246 0
995 -22652 21950 0
-18824 -20715 13368 0
22869 -22011 23728 0
11384 -19526 -15194 0
-16704 -12232 -5643 0
9676 -8618 22184 0
17757 7871 20996 0
-15256 20816 -19056 0
17743 -18365 -13471 0
-5549 -19404 12093 0
2146 11750 1096 0
-24095 21925 13162 0
-12462 -19793 -10173 0
-11189 22528 -21050 0
-17735 -14231 -24633 0
14729 -23906 24602 0
-11913 8015 7473 0
-7908 -23270 3288 0
18316 7364 13004 0
-6786 4264 23759 0
10230 -6410 10508 0
11325 21856 7432 0
24487 670 18576 0
1011 3210 16103 0
-22060 -20944 -5333 0
13045 2025 20591 0
12646 -13937 3605 0
-20118 13196 18226 0
14757 -6511 -590 0
2761 4649 -4853 0
-1519 -14878 2614 0
3379 -1203 -24470 0
-10810 17041 -139 0
-4386 18051 19700 0
-20488 6462 -15644 0
17173 -19506 9020 0
-12763 -7152 -22956 0
7719 -18621 -11151 0
944 -8378 -9014 0
-1533 2490 -13662 0
-22738 -4008 -19891 0
-351 -7386 -12445 0
-16172 9548 -4485 0
-7662 -13933 13887 0
-2362 -772 -20349 0
-9357 -17944 6206 0
-18376 -22058 4709 0
7683 -4776 -23330 0
10185 22072 -23059 0
-19198 -23604 -548 0
-24211 -12693 -20907 0
-10454 -4396 -19645 0
14250 11919 -4192 0
-18735 -19581 -9476 0
23973 -13294 1599 0
-19321 14002 10895 0
-527 -7377 -7952 0
21587 6411 4080 0
-19916 -16595 1151 0
-9326 2145 16106 0
1225 17707 -3799 0
-22132 -3160 -24546 0
8128 -17410 -11464 0
3671 -2496 -22396 0
4498 17820 2041 0
-6096 -12141 -16042 0
-16990 -4019 -14770 0
-16294 -605 -21180 0
-20373 -11873 4127 0
12875 12550 -6271 0
-3980 13775 15329 0
-24130 2258 -18489 0
15027 -10385 -2250 0
17843 5407 -21097 0
-15238 9904 -13916 0
8631 -15999 17408 0
-24672 -24341 -21426 0
5794 6986 -13383 0
18325 18710 16607 0
-22451 6584 4156 0
20073 -10563 17930 0
10402 -1045 -20187 0
20242 -16071 21923 0
-22491 -8913 -2329 0
9939 -15503 -12232 0
-23854 -24133 -19583 0
7614 -15156 10275 0
20391 12301 17260 0
-8773 -5626 10969 0
-379 19428 -17552 0
-4535 14501 -19466 0
13816 -24902 11862 0
355 -20143 -2933 0
-22277 -8985 -3197 0
15958 -18923 10051 0
-3189 -9128 535 0
-14123 -16741 7043 0
-24397 -12132 19343 0
8008 12256 -24968 0
-18976 3987 10748 0
2879 -8521 248 0
-22345 13688 16501 0
558 14042 -11643 0
19842 -11319 11979 0
-23039 -2276 22253 0
24441 -21816 -6380 0
-24976 2291 -14473 0
-7018 18039 -17956 0
17712 1047 -5211 0
9032 -20022 -9197 0
19779 14253 -9069 0
-20026 2949 -22757 0
-11526 3506 3150 0
-14520 -23348 -14468 0
17850 12738 -8095 0
15102 -12178 21263 0
12833 3505 -23553 0
18657 1874 -16591 0
-11612 19586 -17637 0
-8175 3617 -4011 0
-8723 -23395 -18263 0
9144 9772 -21211 0
23252 12649 16068 0
1401 -2168 -14415 0
7221 11369 18504 0
6667 1470 22034 0
2929 -14302 538 0
17833 -7959 2412 0
-9424 10922 -21997 0
-18412 10448 16965 0
13774 -19171 -15359 0
23388 19666 16482 0
-19598 17917 4130 0
2018 -19317 22649 0
7784 17889 9017 0
1288 24556 -10486 0
23321 -2484 -16139 0
-23858 -20317 15449 0
17621 21092 -1371 0
-14617 -14503 -11818 0
22933 19629 -22340 0
-13291 18016 -17005 0
-4772 3966 1273 0
253 5983 -20590 0
-22901 13766 4830 0
-6917 -15053 4385 0
-8754 4725 23221 0
16245 19935 -18537 0
-6693 12555 5980 0
-24415 18524 11834 0
-2585 16456 6462 0
16276 21099 24478 0
-8281 -870 3443 0
-9553 17475 -9425 0
-21494 -15375 14542 0
-1324 -13644 20947 0
22060 -13749 671 0
20280 21345 20605 0
-13816 -3038 -8160 0
11147 18804 -1683 0
22981 -21388 -18138 0
4442 -12664 -14236 0
3919 -12296 -6458 0
-7361 13200 15284 0
-8137 1046 22010 0
-22679 18721 -10653 0
-18625 15780 -15754 0
10647 -11060 -12098 0
6252 -16227 6487 0
-14411 -2374 -291 0
-7445 -354 13030 0
-16934 -4795 17045 0
22522 66 20692 0
20331 23778 -8892 0
-10614 -6915 -9937 0
-7623 20945 -3657 0
9628 5921 10788 0
-381 16567 -21847 0
3830 -22818 -4426 0
-10317 3580 23151 0
1959 2376 -23504 0
-14988 -19310 -19650 0
23385 8183 11067 0
19076 3513 9845 0
19319 -14126 8111 0
20607 13100 -4055 0
-24263 -22727 -9975 0
1403 -14459 17893 0
14601 9641 -15711 0
-19026 11309 10642 0
-17176 13267 13018 0
-7031 19606 -7327 0
-18033 -17990 -15509 0
-4099 3418 10373 0
5295 22736 15850 0
13405 18343 -3949 0
-17459 8957 18028 0
-18785 10359 23838 0
-11678 -24960 -8478 0
-18740 10337 -19786 0
-4381 18865 24404 0
8750 17247 19010 0
7428 -10279 -11999 0
-22936 5730 -15416 0
24660 11024 -13152 0
15509 -24429 22846 0
-19458 8239 6802 0
3837 18376 -17161 0
-2674 21405 8472 0
2504 -15144 -18808 0
-22289 -10876 4024 0
-21693 -19626 21271 0
7054 18405 -6549 0
-19052 -16341 -12278 0
-820 7352 14654 0
-5323 22861 -14082 0
-3168 8670 13672 0
1321 -12506 7047 0
-18481 6531 3451 0
18304 9034 9946 0
3464 22675 -20822 0
7487 10719 -6799 0
3757 17772 -203 0
1658 -11823 -7895 0
-13935 -3994 6599 0
19940 668 4459 0
373 20187 -13128 0
14045 21508 16985 0
-21091 6340 23515 0
15894 -24644 -7549 0
839 -3107 -5223 0
13012 1945 -15941 0
11162 -5702 -8712 0
2717 -7359 -11886 0
1963 -12645 -7232 0
8561 -7585 -7899 0
13019 -7957 19438 0
17498 13353 -15945 0
9482 -9444 -22284 0
-7997 16689 -13279 0
6897 17527 -7737 0
-12119 -5539 -9682 0
-19411 8052 6735 0
-19474 10768 5445 0
-22711 12731 -18089 0
21294 21291 17025 0
20545 -9310 16334 0
14982 -1807 4686 0
-5926 2641 5481 0
-19561 -10637 22169 0
24192 -17533 -14696 0
-6928 -21003 -11586 0
-7961 -6765 -19637 0
-14695 17590 -5405 0
-20139 -15300 9487 0
-4580 2946 5777 0
-21604 23490 6438 0
4289 13471 24597 0
-8975 10748 2237 0
-14455 -5308 4225 0
2976 20851 -21757 0
9023 19131 -9111 0
-20608 -2091 7227 0
6596 -8138 -24816 0
3352 -19628 -6467 0
12838 15559 -9412 0
-18615 3515 -7901 0
16404 7803 12723 0
16000 8129 23470 0
-18236 13936 20130 0
-22460 16911 -15980 0
-10568 933 -10110 0
11030 12892 -3553 0
-18256 19487 3042 0
9423 22839 -22669 0
7242 -10676 -13228 0
-16653 20642 8094 0
-15906 12046 15896 0
-3628 -3045 24025 0
18450 12633 12960 0
-13579 -10092 -4870 0
-20910 -12012 22154 0
22372 -23041 10045 0
17276 -7649 -4531 0
20317 8423 -2369 0
9337 15664 -4397 0
13916 23669 -38 0
22009 -14574 3435 0
-12905 -9553 -6480 0
3281 19354 -19112 0
16240 -7932 -20555 0
12461 20194 23918 0
9614 -17565 13311 0
-19658 -9840 12311 0
15540 21508 20733 0
9261 5844 -11397 0
-13657 19760 -10065 0
5046 16768 -15990 0
8481 -4672 16894 0
6312 -7952 11248 0
16775 15543 10531 0
-12329 -3003 -5724 0
2599 3968 -14640 0
-15909 -23625 15831 0
-3219 -14165 -12338 0
15303 -23425 -18182 0
-1699 3433 4293 0
-3115 -8478 -21060 0
10456 8310 17084 0
2350 14621 16387 0
-13597 6395 -6930 0
-24127 10076 1284 0
21203 12674 5252 0
2194 -3582 20228 0
-18025 -23152 -9392 0
21714 -13454 -24168 0
6247 6505 18952 0
10539 -9619 -2430 0
-6599 11427 2091 0
15034 13776 16712 0
-6420 18724 -23106 0
4701 -17850 -8181 0
-5985 5404 12206 0
-11236 7598 7139 0
-6463 16974 -5290 0
-7207 13687 10096 0
22726 19934 -16600 0
16678 -5472 -17570 0
10459 -3422 -3996 0
12549 9807 -17771 0
-4260 -16227 2846 0
18718 12279 12048 0
18250 -18263 -17451 0
-5456 -20850 16400 0
-12594 -18665 8373 0
-9236 -17223 22060 0
10683 -14948 -16993 0
-2282 22977 -13816 0
11203 8435 -8590 0
-15199 -20984 -18396 0
-24321 16595 -974 0
18519 -10312 4605 0
5566 -3562 -22867 0
-23016 369 -10069 0
-14416 4314 -20085 0
-22788 4901 3659 0
11199 15583 9958 0
-3191 9216 7935 0
8359 20419 -16369 0
-16948 1969 -3704 0
-1695 17641 -20299 0
19021 11159 21962 0
23625 16724 16875 0
12843 6092 -17243 0
14263 -20507 -21557 0
-9347 9646 -1457 0
-13005 20845 8392 0
-22963 15387 17607 0
22249 -23745 -13025 0
4969 -7044 -14993 0
-8673 91 23986 0
20323 -19111 -10144 0
-17284 9087 18220 0
-9159 21929 24311 0
17753 -11192 11169 0
5661 11890 20814 0
23470 16247 -16658 0
6861 -14209 23397 0
24467 2809 -22141 0
-12492 7777 20537 0
-18836 -16449 -20627 0
9173 -11771 6089 0
-19317 -20407 -15175 0
3888 20917 3455 0
3198 13669 -14646 0
14366 19330 -1536 0
-10179 17799 -17782 0
-18189 -24659 -23342 0
7937 -24125 -1150 0
-5077 -2968 278 0
16965 -13156 -16727 0
3943 13680 -19849 0
10031 -7996 6607 0
-205 3235 2523 0
-3660 6432 -16192 0
-9657 -20797 1873 0
2544 -22328 -19671 0
11677 -6868 10681 0
1370 -14804 1157 0
18871 -11232 20477 0
19149 -3197 -8632 0
2227 -7139 -22311 0
-22075 8522 -21659 0
20034 78 -24893 0
-22556 20089 22677 0
5099 -4746 9825 0
-6971 23641 23504 0
17993 -10318 -5371 0
3673 3039 -11526 0
-4830 21910 14110 0
-306 -16058 8658 0
-289 -18284 7148 0
-13951 -6710 -15669 0
-1961 18095 -15747 0
18206 -15651 2187 0
-15882 -20749 -6932 0
17058 19072 21925 0
15562 -12064 23594 0
12284 7089 1632 0
-23810 -11918 -23541 0
-12919 -3575 5950 0
12928 20215 15585 0
20075 -9165 13647 0
-10744 2478 6741 0
-17842 -20683 -22391 0
-20028 -2916 -9492 0
-18312 -19973 19915 0
-15236 1886 -6978 0
5181 14170 -14066 0
6812 -12979 -17335 0
-5353 -17249 12261 0
2654 -5176 7475 0
-18239 -250 7992 0
23237 -2345 -10469 0
-4977 11538 22503 0
-18720 22918 -418 0
19563 -16229 -11742 0
-14477 -22816 -13628 0
12806 -2996 -2797 0
18224 1159 -7127 0
-10558 -6511 15727 0
14171 517 -20902 0
21645 10107 -12503 0
-4636 8343 6200 0
6456 -13319 -17737 0
3958 23390 -15654 0
20727 -17952 23234 0
23821 23780 12401 0
-12448 -11586 6748 0
-6596 21161 7907 0
5074 23070 5769 0
20800 12240 6285 0
8053 -8885 -16391 0
-20555 -4872 -24733 0
18106 -11328 -4404 0
-10843 6637 19145 0
17848 -2364 3449 0
-16082 -1184 -2228 0
-3482 -4983 -5165 0
-10230 2930 17677 0
-18136 -8003 15747 0
-23904 -3802 -2986 0
21541 3206 -3222 0
-12931 -23760 24446 0
-4016 -16866 -10773 0
-24771 -19060 8761 0
10267 -11907 -11124 0
13715 19340 3659 0
7295 14174 -8641 0
-12459 -24403 -11570 0
-5136 -8890 -10924 0
12234 -24145 -6077 0
-15219 12037 -9282 0
-9793 -24968 -24394 0
590 -20335 -7611 0
-11362 -11457 18022 0
11474 13075 -4928 0
-22598 1790 15620 0
-1256 -9084 4793 0
-1249 12894 -4195 0
-4170 9381 4436 0
6446 21614 19932 0
-12522 3185 6969 0
13156 -12977 23288 0
-12549 4918 9974 0
-11511 -16279 -21430 0
-4532 19104 -9504 0
811 -16701 2645 0
-16430 9309 -11728 0
-21222 -10557 15974 0
16768 6078 354 0
-21203 12523 -21968 0
-16135 16397 -152 0
14455 4552 -4480 0
12742 8452 -9397 0
22715 -19962 -17027 0
10496 -15845 -11130 0
-19999 -16655 19183 0
13996 24437 -3491 0
17075 12010 -5399 0
8048 3778 2828 0
-8402 16332 -15351 0
21721 23818 -6747 0
13224 13272 2650 0
9055 1013 -11101 0
-18451 -23727 22414 0
-1829 -9222 4610 0
-4310 -20573 -21264 0
14844 -9568 12052 0
-18334 17994 -24062 0
-15084 1042 -2839 0
-17912 795 10522 0
-24614 -22515 9340 0
22712 -10738 -22611 0
-361 -19792 14976 0
2813 -4594 -13702 0
-226 22774 -14276 0
-4835 18435 1200 0
-17450 8279 2119 0
20854 17964 20112 0
-19915 -8048 -21153 0
-14105 -17311 -21947 0
-24626 -8276 -10813 0
317 22339 12902 0
14280 -22699 24045 0
4255 -511 -3638 0
9308 -17088 17763 0
14935 13274 11198 0
16134 -5723 19476 0
-18252 17928 12439 0
-13364 -12842 11838 0
-868 18298 20500 0
-14167 9276 -3775 0
16331 -9592 -1113 0
4233 15223 -15163 0
3277 -19477 7025 0
23267 -3785 -24112 0
16029 -18719 3737 0
2226 1205 812 0
-21701 -19456 18739 0
492 -24171 22933 0
-12329 16391 -16230 0
-7829 -5557 16857 0
-2955 13239 -1449 0
-20420 -17471 -16671 0
1934 12100 2500 0
-8959 10366 22636 0
-24422 1394 7706 0
-3159 -3620 -8910 0
20322 16672 -19718 0
14060 17163 10240 0
-11992 -4492 -1630 0
19574 -3672 -23538 0
11430 -22978 -11777 0
4230 9749 20599 0
12253 -11683 7698 0
-14752 11993 -18063 0
3739 -11414 -19457 0
-11444 -5924 -14428 0
11706 -1245 -6099 0
-6423 6657 14614 0
8014 -18648 10457 0
-9644 4573 5480 0
24533 -16003 -3457 0
2661 -20232 4558 0
23260 23836 -16240 0
-5957 -13587 -3232 0
15372 -17325 -5997 0
1180 20121 -3273 0
-15607 -6826 -20869 0
-13057 4600 -2525 0
19022 -12613 -12525 0
4478 13608 8449 0
-9957 -13141 -24451 0
-4766 -15801 -11035 0
-9323 5412 -9870 0
16914 2721 14809 0
11497 18092 23485 0
8845 19271 18605 0
-12117 1229 16782 0
24338 -14285 -21381 0
18214 -8307 346 0
22090 4136 -13953 0
5539 -14093 18445 0
21341 10210 598 0
-7375 10884 -6009 0
8597 2797 -8729 0
23405 -14293 -1820 0
-21889 14489 12442 0
6846 -1606 -13670 0
23627 17295 19307 0
-20008 -10508 18965 0
11705 -7598 23100 0
-657 4488 3544 0
10454 828 -13753 0
11051 -8203 -24636 0
-17059 -16799 18784 0
-17140 6555 -8076 0
-10311 19795 13917 0
-22753 1640 -15522 0
-2774 267 24168 0
-22080 11626 -9675 0
7396 23330 8624 0
-5496 15338 13111 0
-9039 791 -13939 0
14144 -11841 13493 0
-13779 -20252 21643 0
-7563 3743 -3197 0
-6990 -14053 -22991 0
-20906 -3157 15983 0
-2779 22283 16249 0
18298 10714 -2874 0
-2973 18110 17555 0
2948 -23605 7892 0
-16059 -23995 8683 0
21349 -13138 -20523 0
-9841 -18269 7126 0
-6483 -17183 -10868 0
-1031 -15524 16273 0
-15373 -2782 10781 0
-6355 21912 8063 0
13955 15210 -18777 0
-16828 9534 3238 0
734 12481 18194 0
8626 19891 -17188 0
-17308 16239 -21678 0
4182 17431 6298 0
-11308 15265 14832 0
13527 -16295 -5355 0
-4799 23020 24488 0
-15580 20726 -21400 0
14994 9681 -11609 0
-8770 17860 12494 0
-12007 18594 -24974 0
-5200 2219 -19865 0
-13740 -19526 2455 0
1769 15059 -19886 0
-8066 17718 -10150 0
-22897 -6245 17797 0
19603 2395 -15816 0
19091 9326 2893 0
-15490 24320 12573 0
-18450 24441 -5433 0
22295 2800 -24026 0
-22268 -7999 17596 0
-8484 13090 3473 0
2291 -14858 -18531 0
-22176 14275 2601 0
23677 -12171 -8845 0
-16473 -6774 2591 0
-23640 17216 -11917 0
-1533 24057 2588 0
5457 8858 2028 0
2241 6152 4827 0
17618 19771 4178 0
-10213 19607 -17267 0
-13685 21897 23477 0
-23568 10424 12751 0
-1168 -9100 -24922 0
-1364 -16925 -23047 0
20306 -6916 -15262 0
-7222 -24800 5670 0
-9809 -5257 14527 0
3189 23849 -20678 0
8015 16467 6800 0
-12192 -1679 1406 0
20811 -6716 -23302 0
19287 21635 -8725 0
7037 14154 -9177 0
-6958 6869 17453 0
-21356 2174 -24368 0
2969 -9396 -15520 0
-8638 -10556 -12128 0
-23164 -13744 -10976 0
-10193 13111 -2442 0
-16993 -302 20473 0
-18398 -21112 18540 0
-8052 -15398 15174 0
-8128 13787 -4327 0
8656 12096 -11195 0
-1108 -8452 4720 0
-16828 2772 -14115 0
23699 -11410 -16023 0
-10826 -925 21118 0
13153 2470 -9228 0
6947 10814 882 0
-2419 20563 13345 0
-20958 -3614 20095 0
2483 3094 8881 0
-6809 -11749 -20976 0
-9355 4209 20779 0
-14074 -21036 23551 0
-19541 11086 -9960 0
1915 -21911 -2236 0
-23032 1415 -4705 0
23612 8361 6870 0
-24493 -10779 2433 0
4189 23088 -6046 0
24283 570 -9139 0
-8163 23730 12240 0
20491 -8084 -16448 0
-16269 13510 -3835 0
-14819 24402 -14920 0
-16130 1316 3182 0
9718 -24347 4596 0
5774 14310 -12957 0
12644 5154 15087 0
15076 9343 13175 0
-21121 -8625 -13744 0
-21612 8140 -12474 0
203 -3630 -11909 0
-16650 11250 -418 0
11836 -1069 -24819 0
18107 -8550 17486 0
21288 -18267 8185 0
-883 -24041 22494 0
5191 -11684 -2648 0
-20278 -1759 -11990 0
24804 -14231 11966 0
-13547 2194 -20105 0
-17372 -2396 15086 0
20633 -10397 -1336 0
12402 13584 18756 0
-12221 6690 18657 0
21058 2977 -11924 0
4242 20212 2316 0
-1736 -402 5351 0
20735 12031 23461 0
-7724 11834 -12691 0
11041 16733 6237 0
-6146 -9104 -8632 0
-21231 21088 10381 0
13918 8490 23964 0
-7673 12062 5654 0
-1330 8119 -8630 0
-4605 12361 20193 0
-6920 5448 -20595 0
3622 1182 23977 0
2082 257 -10811 0
-14772 11297 -2543 0
12360 -17442 -2998 0
-20992 -5025 -24086 0
22724 10294 -7575 0
-21687 -17967 -19636 0
18692 -10648 19106 0
18674 6604 -6466 0
13866 4875 -11913 0
812 8496 4446 0
-24789 -10577 4702 0
1951 -16700 15999 0
20845 -4060 24792 0
15194 -16403 21168 0
-14279 5478 6462 0
-13205 -2164 15780 0
-24192 12208 -1427 0
9650 5881 24382 0
-16115 -19746 4256 0
19380 11910 -12751 0
23825 3050 14679 0
-3527 5000 -6378 0
10877 -844 -1789 0
-10668 -16037 9543 0
-6836 -21668 -15020 0
-13297 1224 -8536 0
-4076 16768 -20743 0
-21854 1417 17975 0
-21235 -17531 4072 0
-490 3262 15981 0
-4592 -2087 -19030 0
-19270 -21965 -24029 0
-16999 -7841 -16224 0
-10140 9860 23613 0
11034 -16695 -20280 0
-1054 -21343 12855 0
941 16770 4622 0
13035 -13623 -6038 0
6009 -1209 -14921 0
10080 -18050 9534 0
-1061 13993 -11620 0
11442 24614 24936 0
1823 7965 24128 0
-18046 -18104 8988 0
8010 -4137 17034 0
-3289 21542 -13377 0
-16144 -22482 -5146 0
12117 -10516 -10121 0
9507 -16524 -2681 0
-24427 17956 12083 0
-8960 10368 1075 0
-11932 -21809 -689 0
3219 14983 -8653 0
2347 -8029 18108 0
-11334 -16038 13596 0
-3367 -10679 10138 0
8095 -18174 23971 0
4593 21642 -9487 0
6065 6148 -17362 0
-8745 21926 -10317 0
-20827 22238 12036 0
13254 521 -8845 0
-13942 3739 15179 0
-13946 -6085 -23207 0
23405 8770 -5597 0
12000 -12137 -7627 0
-22137 -20231 -17152 0
-21108 16175 -13793 0
-21946 22239 11293 0
5659 -5984 -8218 0
7328 -18162 21807 0
-19363 -6415 22327 0
-19559 -11708 -1066 0
-9738 -17005 23502 0
-24296 -15409 7272 0
-21244 18761 -19408 0
20222 7249 -5990 0
-12373 19708 -22165 0
-17518 -16653 10755 0
20162 13664 -16738 0
-3379 20991 1252 0
-186 -15353 24018 0
13864 -1264 -10726 0
-14929 2353 19082 0
-13431 -1648 843 0
-20702 14244 19603 0
-6461 -9465 1851 0
3802 -13190 21559 0
17318 -22059 4563 0
3073 -17220 18226 0
11162 11950 -14216 0
12413 3487 -20921 0
-11431 17351 13536 0
-13508 -7279 15888 0
23941 -12061 8887 0
24783 24114 -23130 0
-19385 -5574 23947 0
12588 728 3488 0
-9146 -18045 -546 0
-13708 -21117 9117 0
23286 -7279 -21066 0
-12501 11043 15905 0
24773 13825 8255 0
13308 -2332 6885 0
-4195 -1273 -18946 0
4434 17407 9411 0
-2563 -11792 6337 0
-1509 15731 7064 0
21348 -24876 16460 0
-21893 -4935 -12577 0
-6009 -3220 -11207 0
-18427 -7073 13601 0
-9331 -6845 2426 0
8937 11505 -4757 0
15821 7051 -22381 0
1118 11484 -14788 0
10529 -14047 -17931 0
16865 -6907 -8661 0
-23928 -3255 -24888 0
-15387 16499 21174 0
-19315 13860 15746 0
